zip,state,city,lat,lon
00501,NY,Holtsville,40.8154,-73.0456
00544,NY,Holtsville,40.8154,-73.0456
00601,PR,Adjuntas,18.180103,-66.74947
00602,PR,Aguada,18.363285,-67.18024
00603,PR,Aguadilla,18.448619,-67.13422
00604,PR,Aguadilla,18.498987,-67.13699
00605,PR,Aguadilla,18.4289,-67.1538
00606,PR,Maricao,18.182151,-66.9588
00610,PR,Anasco,18.288319,-67.13604
00611,PR,Angeles,18.2856,-66.9698
00612,PR,Arecibo,18.449732,-66.69879
00616,PR,Bajadero,18.426748,-66.67669
00617,PR,Barceloneta,18.455499,-66.55575
00622,PR,Boqueron,18.003125,-67.16745
00623,PR,Cabo Rojo,18.08643,-67.15222
00624,PR,Penuelas,18.055399,-66.72602
00627,PR,Camuy,18.435246,-66.85644
00631,PR,Castaner,18.186739,-66.85174
00636,PR,Rosario,18.1647,-67.0797
00637,PR,Sabana Grande,18.073078,-66.94864
00638,PR,Ciales,18.308139,-66.49835
00641,PR,Utuado,18.268896,-66.70519
00646,PR,Dorado,18.442798,-66.27689
00647,PR,Ensenada,17.964529,-66.93993
00650,PR,Florida,18.363331,-66.56773
00652,PR,Garrochales,18.457453,-66.61217
00653,PR,Guanica,17.992112,-66.90097
00656,PR,Guayanilla,18.038866,-66.79168
00659,PR,Hatillo,18.432956,-66.80039
00660,PR,Hormigueros,18.139108,-67.12085
00662,PR,Isabela,18.478855,-67.01973
00664,PR,Jayuya,18.212565,-66.59243
00667,PR,Lajas,18.017819,-67.04226
00669,PR,Lares,18.288418,-66.87503
00670,PR,Las Marias,18.241343,-66.97604
00674,PR,Manati,18.426137,-66.48697
00676,PR,Moca,18.37956,-67.08424
00677,PR,Rincon,18.336121,-67.23675
00678,PR,Quebradillas,18.442334,-66.93275
00680,PR,Mayaguez,18.205232,-67.12655
00681,PR,Mayaguez,18.1211,-67.0824
00682,PR,Mayaguez,18.208402,-67.15428
00683,PR,San German,18.092807,-67.04524
00685,PR,San Sebastian,18.332595,-66.98104
00687,PR,Morovis,18.31708,-66.41528
00688,PR,Sabana Hoyos,18.40415,-66.61348
00690,PR,San Antonio,18.495369,-67.09867
00692,PR,Vega Alta,18.419666,-66.33186
00693,PR,Vega Baja,18.440667,-66.3921
00694,PR,Vega Baja,18.4465,-66.3884
00698,PR,Yauco,18.06547,-66.85587
006HH,PR,,18.473441,-66.83452
006XX,PR,,18.102537,-67.88803
00703,PR,Aguas Buenas,18.246205,-66.12827
00704,PR,Aguirre,17.970112,-66.22291
00705,PR,Aibonito,18.12942,-66.26541
00707,PR,Maunabo,18.014505,-65.91018
00714,PR,Arroyo,17.987288,-66.05552
00715,PR,Mercedita,18.003492,-66.55868
00716,PR,Ponce,17.999066,-66.59965
00717,PR,Ponce,18.004303,-66.61374
00718,PR,Naguabo,18.22048,-65.74293
00719,PR,Naranjito,18.294571,-66.25098
00720,PR,Orocovis,18.217827,-66.42265
00723,PR,Patillas,18.023196,-66.0131
00725,PR,Caguas,18.233927,-66.04502
00726,PR,Caguas,18.1217,-66.0493
00727,PR,Caguas,18.2119,-66.082
00728,PR,Ponce,18.013353,-66.65218
00729,PR,Canovanas,18.35615,-65.89089
00730,PR,Ponce,18.022626,-66.61727
00731,PR,Ponce,18.077329,-66.61192
00732,PR,Ponce,18.0133,-66.6146
00733,PR,Ponce,18.0133,-66.6146
00734,PR,Ponce,18.0133,-66.6146
00735,PR,Ceiba,18.258444,-65.65987
00736,PR,Cayey,18.112895,-66.15377
00737,PR,Cayey,18.1138,-66.1667
00738,PR,Fajardo,18.32265,-65.66116
00739,PR,Cidra,18.16984,-66.16271
00740,PR,Puerto Real,18.331711,-65.62761
00741,PR,Punta Santiago,18.160755,-65.75765
00742,PR,Ceiba,18.2666,-65.6482
00744,PR,Rio Blanco,18.2202,-65.7902
00745,PR,Rio Grande,18.366213,-65.82277
00751,PR,Salinas,17.993803,-66.26534
00754,PR,San Lorenzo,18.15633,-65.96831
00757,PR,Santa Isabel,17.98631,-66.39457
00765,PR,Vieques,18.125664,-65.45603
